
==================== AAPL ====================
Day 165: Action: 1, Cash: 2496.09, Volume: 0.0, Price: 239.32
Day 166: Action: 0, Cash: 102.92, Volume: 10.0, Price: 236.27
Day 167: Action: 0, Cash: 102.92, Volume: 10.0, Price: 240.79
Day 168: Action: 0, Cash: 102.92, Volume: 10.0, Price: 237.00
Day 169: Action: 0, Cash: 102.92, Volume: 10.0, Price: 234.91
Day 170: Action: 0, Cash: 102.92, Volume: 10.0, Price: 234.72
Day 171: Action: 2, Cash: 102.92, Volume: 10.0, Price: 234.31
Day 172: Action: 1, Cash: 2446.01, Volume: 0.0, Price: 238.03
Day 173: Action: 0, Cash: 65.69, Volume: 10.0, Price: 226.49
Day 174: Action: 0, Cash: 65.69, Volume: 10.0, Price: 219.88
Day 175: Action: 0, Cash: 65.69, Volume: 10.0, Price: 216.04
Day 176: Action: 0, Cash: 65.69, Volume: 10.0, Price: 208.77
Day 177: Action: 0, Cash: 65.69, Volume: 10.0, Price: 212.56
Day 178: Action: 0, Cash: 65.69, Volume: 10.0, Price: 213.07
Day 179: Action: 2, Cash: 65.69, Volume: 10.0, Price: 211.77
Day 180: Action: 0, Cash: 2183.36, Volume: 0.0, Price: 214.31
Day 181: Action: 1, Cash: 2183.36, Volume: 0.0, Price: 213.17
Day 182: Action: 0, Cash: 51.65, Volume: 10.0, Price: 217.32
Day 183: Action: 0, Cash: 51.65, Volume: 10.0, Price: 219.77
Day 184: Action: 0, Cash: 51.65, Volume: 10.0, Price: 222.78
Day 185: Action: 2, Cash: 51.65, Volume: 10.0, Price: 220.57
Day 186: Action: 0, Cash: 2257.33, Volume: 0.0, Price: 222.88
Day 187: Action: 0, Cash: 2257.33, Volume: 0.0, Price: 216.95
Day 188: Action: 0, Cash: 2257.33, Volume: 0.0, Price: 221.17
Day 189: Action: 0, Cash: 2257.33, Volume: 0.0, Price: 222.22
Day 190: Action: 0, Cash: 2257.33, Volume: 0.0, Price: 222.92
Day 191: Action: 1, Cash: 2257.33, Volume: 0.0, Price: 202.31
Day 192: Action: 0, Cash: 234.25, Volume: 10.0, Price: 187.56
Day 193: Action: 0, Cash: 234.25, Volume: 10.0, Price: 180.67
Day 194: Action: 0, Cash: 234.25, Volume: 10.0, Price: 171.67
Day 195: Action: 0, Cash: 234.25, Volume: 10.0, Price: 197.99
Day 196: Action: 0, Cash: 234.25, Volume: 10.0, Price: 189.59
Day 197: Action: 0, Cash: 234.25, Volume: 10.0, Price: 197.29
Day 198: Action: 0, Cash: 234.25, Volume: 10.0, Price: 201.64
Day 199: Action: 1, Cash: 234.25, Volume: 10.0, Price: 201.26
Day 200: Action: 0, Cash: 32.99, Volume: 11.0, Price: 193.43
Day 201: Action: 2, Cash: 32.99, Volume: 11.0, Price: 196.13
Day 202: Action: 0, Cash: 1994.24, Volume: 1.0, Price: 192.32
Day 203: Action: 0, Cash: 1994.24, Volume: 1.0, Price: 198.87
Day 204: Action: 2, Cash: 1994.24, Volume: 1.0, Price: 203.71
Day 205: Action: 0, Cash: 2197.95, Volume: 0.0, Price: 207.47
Day 206: Action: 0, Cash: 2197.95, Volume: 0.0, Price: 208.37
Day 207: Action: 1, Cash: 2197.95, Volume: 0.0, Price: 209.23
Day 208: Action: 1, Cash: 105.67, Volume: 10.0, Price: 210.29
Day 209: Action: 1, Cash: 105.67, Volume: 10.0, Price: 211.58
Day 210: Action: 0, Cash: 105.67, Volume: 10.0, Price: 212.39
Day 211: Action: 0, Cash: 105.67, Volume: 10.0, Price: 204.46
Day 212: Action: 0, Cash: 105.67, Volume: 10.0, Price: 198.03
Day 213: Action: 0, Cash: 105.67, Volume: 10.0, Price: 197.65
Day 214: Action: 2, Cash: 105.67, Volume: 10.0, Price: 195.40
Day 215: Action: 1, Cash: 2059.66, Volume: 0.0, Price: 196.63
Day 216: Action: 0, Cash: 93.33, Volume: 10.0, Price: 197.67
Day 217: Action: 0, Cash: 93.33, Volume: 10.0, Price: 210.15
Day 218: Action: 2, Cash: 93.33, Volume: 10.0, Price: 212.28
Day 219: Action: 0, Cash: 2216.17, Volume: 0.0, Price: 211.69
Day 220: Action: 0, Cash: 2216.17, Volume: 0.0, Price: 210.81
Day 221: Action: 0, Cash: 2216.17, Volume: 0.0, Price: 210.62
Day 222: Action: 1, Cash: 2216.17, Volume: 0.0, Price: 208.15
Day 223: Action: 0, Cash: 134.70, Volume: 10.0, Price: 206.23
Day 224: Action: 0, Cash: 134.70, Volume: 10.0, Price: 201.48
Day 225: Action: 2, Cash: 134.70, Volume: 10.0, Price: 200.75
Day 226: Action: 1, Cash: 2142.19, Volume: 0.0, Price: 194.68
Day 227: Action: 2, Cash: 195.41, Volume: 10.0, Price: 199.60
Day 228: Action: 0, Cash: 2191.44, Volume: 0.0, Price: 199.81
Day 229: Action: 1, Cash: 2191.44, Volume: 0.0, Price: 199.34
Day 230: Action: 0, Cash: 198.01, Volume: 10.0, Price: 200.24
Day 231: Action: 0, Cash: 198.01, Volume: 10.0, Price: 201.09
Day 232: Action: 2, Cash: 198.01, Volume: 10.0, Price: 202.65
Day 233: Action: 0, Cash: 2224.54, Volume: 0.0, Price: 202.20
Day 234: Action: 0, Cash: 2224.54, Volume: 0.0, Price: 200.02
Day 235: Action: 1, Cash: 2224.54, Volume: 0.0, Price: 203.30
Day 236: Action: 0, Cash: 191.53, Volume: 10.0, Price: 200.84
Day 237: Action: 0, Cash: 191.53, Volume: 10.0, Price: 202.06
Day 238: Action: 0, Cash: 191.53, Volume: 10.0, Price: 198.18
Day 239: Action: 0, Cash: 191.53, Volume: 10.0, Price: 198.60
Day 240: Action: 0, Cash: 191.53, Volume: 10.0, Price: 195.85
Day 241: Action: 2, Cash: 191.53, Volume: 10.0, Price: 197.82
Day 242: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 195.05
Day 243: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 195.98
Day 244: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 200.39
Day 245: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 200.89
Day 246: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 199.69
Day 247: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 200.95
Day 248: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 200.39
Day 249: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 200.47
Day 250: Action: 0, Cash: 2169.71, Volume: 0.0, Price: 204.55
Day 251: Action: 1, Cash: 2169.71, Volume: 0.0, Price: 207.19
Day 252: Action: 0, Cash: 97.81, Volume: 10.0, Price: 211.80
Day 253: Action: 0, Cash: 97.81, Volume: 10.0, Price: 212.90
Day 254: Action: 2, Cash: 97.81, Volume: 10.0, Price: 209.31
Day 255: Action: 0, Cash: 2190.94, Volume: 0.0, Price: 209.37
Day 256: Action: 1, Cash: 2190.94, Volume: 0.0, Price: 210.50
Day 257: Action: 0, Cash: 85.95, Volume: 10.0, Price: 211.77
Day 258: Action: 2, Cash: 85.95, Volume: 10.0, Price: 210.52
Day 259: Action: 0, Cash: 2191.14, Volume: 0.0, Price: 207.99
Day 260: Action: 0, Cash: 2191.14, Volume: 0.0, Price: 208.48
Day 261: Action: 0, Cash: 2191.14, Volume: 0.0, Price: 209.52
Day 262: Action: 1, Cash: 2191.14, Volume: 0.0, Price: 209.38
Day 263: Action: 0, Cash: 97.31, Volume: 10.0, Price: 210.54
Day 264: Action: 0, Cash: 97.31, Volume: 10.0, Price: 211.84
Day 265: Action: 0, Cash: 97.31, Volume: 10.0, Price: 213.75
Day 266: Action: 0, Cash: 97.31, Volume: 10.0, Price: 213.50
Day 267: Action: 0, Cash: 97.31, Volume: 10.0, Price: 213.11
Day 268: Action: 0, Cash: 97.31, Volume: 10.0, Price: 213.23
Day 269: Action: 0, Cash: 97.31, Volume: 10.0, Price: 213.40
Day 270: Action: 0, Cash: 97.31, Volume: 10.0, Price: 210.63
Day 271: Action: 0, Cash: 97.31, Volume: 10.0, Price: 208.42
Day 272: Action: 2, Cash: 97.31, Volume: 10.0, Price: 206.94
Day 273: Action: 1, Cash: 2166.72, Volume: 0.0, Price: 201.77
Day 274: Action: 0, Cash: 149.06, Volume: 10.0, Price: 202.73
Day 275: Action: 2, Cash: 149.06, Volume: 10.0, Price: 202.30
Day 276: Action: 0, Cash: 2172.10, Volume: 0.0, Price: 212.60
Day 277: Action: 0, Cash: 2172.10, Volume: 0.0, Price: 219.36
Day 278: Action: 0, Cash: 2172.10, Volume: 0.0, Price: 228.65
Day 279: Action: 0, Cash: 2172.10, Volume: 0.0, Price: 226.75
Day 280: Action: 1, Cash: 2172.10, Volume: 0.0, Price: 229.21
Day 281: Action: 0, Cash: 109.18, Volume: 9.0, Price: 232.89
Day 282: Action: 0, Cash: 109.18, Volume: 9.0, Price: 232.34
Day 283: Action: 0, Cash: 109.18, Volume: 9.0, Price: 231.15
Day 284: Action: 0, Cash: 109.18, Volume: 9.0, Price: 230.45
Day 285: Action: 0, Cash: 109.18, Volume: 9.0, Price: 230.12
Day 286: Action: 2, Cash: 109.18, Volume: 9.0, Price: 225.58
Day 287: Action: 0, Cash: 2139.40, Volume: 0.0, Price: 224.47
Day 288: Action: 0, Cash: 2139.40, Volume: 0.0, Price: 227.33
Day 289: Action: 0, Cash: 2139.40, Volume: 0.0, Price: 226.73
Day 290: Action: 1, Cash: 2139.40, Volume: 0.0, Price: 228.87
Day 291: Action: 0, Cash: 79.54, Volume: 9.0, Price: 230.05
Day 292: Action: 0, Cash: 79.54, Volume: 9.0, Price: 232.12
Day 293: Action: 0, Cash: 79.54, Volume: 9.0, Price: 231.70
Day 294: Action: 0, Cash: 79.54, Volume: 9.0, Price: 229.28
Day 295: Action: 0, Cash: 79.54, Volume: 9.0, Price: 238.02
Day 296: Action: 0, Cash: 79.54, Volume: 9.0, Price: 239.32
Day 297: Action: 0, Cash: 79.54, Volume: 9.0, Price: 239.23
Day 298: Action: 0, Cash: 79.54, Volume: 9.0, Price: 237.43
Day 299: Action: 2, Cash: 79.54, Volume: 9.0, Price: 233.90
Day 300: Action: 1, Cash: 2184.68, Volume: 0.0, Price: 226.36
Day 301: Action: 0, Cash: 147.45, Volume: 9.0, Price: 229.59
Day 302: Action: 0, Cash: 147.45, Volume: 9.0, Price: 233.62
Day 303: Action: 0, Cash: 147.45, Volume: 9.0, Price: 236.25
Day 304: Action: 0, Cash: 147.45, Volume: 9.0, Price: 237.70
Day 305: Action: 0, Cash: 147.45, Volume: 9.0, Price: 238.54
Day 306: Action: 0, Cash: 147.45, Volume: 9.0, Price: 237.43
Day 307: Action: 0, Cash: 147.45, Volume: 9.0, Price: 245.03
Day 308: Action: 0, Cash: 147.45, Volume: 9.0, Price: 255.59
Day 309: Action: 0, Cash: 147.45, Volume: 9.0, Price: 253.95
Day 310: Action: 2, Cash: 147.45, Volume: 9.0, Price: 251.83
Day 311: Action: 1, Cash: 2413.92, Volume: 0.0, Price: 256.38
Day 312: Action: 0, Cash: 106.49, Volume: 9.0, Price: 254.97
Day 313: Action: 0, Cash: 106.49, Volume: 9.0, Price: 253.95
Day 314: Action: 0, Cash: 106.49, Volume: 9.0, Price: 254.15
Day 315: Action: 0, Cash: 106.49, Volume: 9.0, Price: 254.96
Day 316: Action: 0, Cash: 106.49, Volume: 9.0, Price: 256.64
Day 317: Action: 0, Cash: 106.49, Volume: 9.0, Price: 257.53
Day 318: Action: 0, Cash: 106.49, Volume: 9.0, Price: 256.20
Day 319: Action: 2, Cash: 106.49, Volume: 9.0, Price: 255.99
Day 320: Action: 1, Cash: 2410.42, Volume: 0.0, Price: 257.57
Day 321: Action: 0, Cash: 92.29, Volume: 9.0, Price: 253.56
Day 322: Action: 0, Cash: 92.29, Volume: 9.0, Price: 244.80
Day 323: Action: 0, Cash: 92.29, Volume: 9.0, Price: 247.19
Day 324: Action: 0, Cash: 92.29, Volume: 9.0, Price: 247.30
Day 325: Action: 2, Cash: 92.29, Volume: 9.0, Price: 248.87
Day 326: Action: 1, Cash: 2332.09, Volume: 0.0, Price: 246.98
Day 327: Action: 0, Cash: 109.27, Volume: 9.0, Price: 251.81
Day 328: Action: 0, Cash: 109.27, Volume: 9.0, Price: 261.74
